GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JessicaHashMap,org.example,MyHashMap.Node,4,69,3,5,1,16,3,8,0,7
JessicaHashMap,org.example,MyHashMap,92,368,18,42,22,87,16,27,0,13
